Date,Part_ID,Price,Quantity,Cost,Revenue,Margin
2024-01-14,Air_Filter_D,17.31,297,7.1,5141.07,3032.37
2024-01-14,Shock_Absorber_E,128.14,41,58.62,5253.74,2850.3199999999993
2024-01-15,Brake_Pad_A,44.18,87,20.93,3843.66,2022.75
2024-01-15,Oil_Filter_B,16.51,295,4.84,4870.450000000001,3442.6500000000005
2024-01-15,Spark_Plug_C,22.42,229,8.17,5134.18,3263.2500000000005
2024-01-15,Air_Filter_D,20.96,256,7.08,5365.76,3553.28
2024-01-15,Shock_Absorber_E,117.11,48,61.55,5621.28,2666.88
2024-01-16,Brake_Pad_A,38.44,108,19.08,4151.5199999999995,2090.88
2024-01-16,Oil_Filter_B,16.6,294,4.8,4880.400000000001,3469.2000000000003
2024-01-16,Spark_Plug_C,24.94,205,7.95,5112.7,3482.9500000000003
2024-01-16,Air_Filter_D,19.39,270,6.68,5235.3,3431.7000000000003
2024-01-16,Shock_Absorber_E,115.49,58,62.14,6698.42,3094.2999999999997
2024-01-17,Brake_Pad_A,47.14,86,20.28,4054.04,2309.96
2024-01-17,Oil_Filter_B,12.87,353,5.04,4543.11,2763.99
2024-01-17,Spark_Plug_C,24.16,223,8.04,5387.68,3594.76
2024-01-17,Air_Filter_D,22.65,222,7.28,5028.299999999999,3412.1399999999994
2024-01-17,Shock_Absorber_E,109.05,48,57.11,5234.4,2493.12
2024-01-18,Brake_Pad_A,39.52,126,19.64,4979.52,2504.88
2024-01-18,Oil_Filter_B,16.55,275,5.1,4551.25,3148.7500000000005
2024-01-18,Spark_Plug_C,25.97,213,8.24,5531.61,3776.4899999999993
2024-01-18,Air_Filter_D,18.69,258,7.21,4822.02,2961.84
2024-01-18,Shock_Absorber_E,137.66,37,61.66,5093.42,2812.0
2024-01-19,Brake_Pad_A,42.85,129,19.86,5527.650000000001,2965.71
2024-01-19,Oil_Filter_B,16.13,306,5.2,4935.78,3344.58
2024-01-19,Spark_Plug_C,25.04,221,8.32,5533.84,3695.12
2024-01-19,Air_Filter_D,19.34,241,7.32,4660.94,2896.8199999999997
2024-01-19,Shock_Absorber_E,136.22,41,59.69,5585.0199999999995,3137.73
2024-01-20,Brake_Pad_A,42.21,106,20.5,4474.26,2301.26
2024-01-20,Oil_Filter_B,16.31,306,5.0,4990.86,3460.8599999999997
2024-01-20,Spark_Plug_C,21.68,258,8.31,5593.44,3449.4599999999996
2024-01-20,Air_Filter_D,19.11,248,7.18,4739.28,2958.64
2024-01-20,Shock_Absorber_E,124.26,38,61.21,4721.88,2395.9
2024-01-21,Brake_Pad_A,39.23,134,19.16,5256.82,2689.3799999999997
2024-01-21,Oil_Filter_B,13.13,338,5.22,4437.9400000000005,2673.5800000000004
2024-01-21,Spark_Plug_C,28.65,179,7.67,5128.349999999999,3755.4199999999996
2024-01-21,Air_Filter_D,21.66,241,7.28,5220.06,3465.58
2024-01-21,Shock_Absorber_E,106.0,66,59.81,6996.0,3048.54
2024-01-22,Brake_Pad_A,39.01,108,20.3,4213.08,2020.6799999999996
2024-01-22,Oil_Filter_B,16.11,298,4.94,4800.78,3328.6599999999994
2024-01-22,Spark_Plug_C,23.39,249,8.37,5824.110000000001,3739.9800000000005
2024-01-22,Air_Filter_D,17.07,358,7.27,6111.06,3508.4
2024-01-22,Shock_Absorber_E,121.0,51,61.17,6171.0,3051.33
2024-01-23,Brake_Pad_A,44.39,109,20.8,4838.51,2571.31
2024-01-23,Oil_Filter_B,12.95,377,5.06,4882.15,2974.5299999999997
2024-01-23,Spark_Plug_C,23.33,215,7.88,5015.95,3321.75
2024-01-23,Air_Filter_D,20.5,255,7.22,5227.5,3386.4
2024-01-23,Shock_Absorber_E,126.65,51,59.51,6459.150000000001,3424.140000000001
2024-01-24,Brake_Pad_A,50.84,102,19.05,5185.68,3242.5800000000004
2024-01-24,Oil_Filter_B,14.44,300,4.94,4332.0,2850.0
2024-01-24,Spark_Plug_C,28.52,186,7.97,5304.72,3822.3
2024-01-24,Air_Filter_D,19.49,256,7.26,4989.44,3130.8799999999997
2024-01-24,Shock_Absorber_E,131.26,44,62.67,5775.44,3017.9599999999996
2024-01-25,Brake_Pad_A,49.72,85,19.26,4226.2,2589.1
2024-01-25,Oil_Filter_B,17.04,287,5.09,4890.48,3429.6499999999996
2024-01-25,Spark_Plug_C,25.89,192,8.14,4970.88,3408.0
2024-01-25,Air_Filter_D,20.12,272,7.25,5472.64,3500.6400000000003
2024-01-25,Shock_Absorber_E,121.87,52,59.42,6337.24,3247.4
2024-01-26,Brake_Pad_A,40.06,124,19.43,4967.4400000000005,2558.1200000000003
2024-01-26,Oil_Filter_B,13.36,348,4.97,4649.28,2919.7200000000003
2024-01-26,Spark_Plug_C,28.03,170,8.23,4765.1,3366.0
2024-01-26,Air_Filter_D,19.38,275,7.31,5329.5,3319.25
2024-01-26,Shock_Absorber_E,107.29,80,58.55,8583.2,3899.2000000000007
2024-01-27,Brake_Pad_A,44.45,101,19.48,4489.450000000001,2521.9700000000003
2024-01-27,Oil_Filter_B,13.09,325,4.83,4254.25,2684.5
2024-01-27,Spark_Plug_C,22.29,255,7.88,5683.95,3674.55
2024-01-27,Air_Filter_D,22.38,232,6.77,5192.16,3621.52
2024-01-27,Shock_Absorber_E,108.92,43,58.67,4683.56,2160.75
2024-01-28,Brake_Pad_A,40.64,100,19.92,4064.0,2072.0
2024-01-28,Oil_Filter_B,13.68,331,5.1,4528.08,2839.98
2024-01-28,Spark_Plug_C,21.54,277,7.67,5966.58,3841.99
2024-01-28,Air_Filter_D,22.24,262,6.84,5826.879999999999,4034.7999999999997
2024-01-28,Shock_Absorber_E,131.02,49,58.26,6419.9800000000005,3565.240000000001
2024-01-29,Brake_Pad_A,43.25,109,19.74,4714.25,2562.59
2024-01-29,Oil_Filter_B,14.83,331,4.88,4908.7300000000005,3293.45
2024-01-29,Spark_Plug_C,26.6,211,8.03,5612.6,3918.27
2024-01-29,Air_Filter_D,17.64,294,6.82,5186.16,3181.08
2024-01-29,Shock_Absorber_E,111.69,58,58.93,6478.0199999999995,3060.08
2024-01-30,Brake_Pad_A,41.1,111,20.78,4562.1,2255.52
2024-01-30,Oil_Filter_B,15.42,317,5.0,4888.14,3303.14
2024-01-30,Spark_Plug_C,21.9,258,8.2,5650.2,3534.6
2024-01-30,Air_Filter_D,19.59,246,6.9,4819.14,3121.74
2024-01-30,Shock_Absorber_E,125.25,50,62.92,6262.5,3116.5
2024-01-31,Brake_Pad_A,46.43,93,19.31,4317.99,2522.1600000000003
2024-01-31,Oil_Filter_B,13.86,315,4.89,4365.9,2825.5499999999997
2024-01-31,Spark_Plug_C,22.55,269,8.02,6065.95,3908.57
2024-01-31,Air_Filter_D,19.46,265,7.26,5156.900000000001,3233.0000000000005
2024-01-31,Shock_Absorber_E,131.41,39,61.01,5124.99,2745.6000000000004
2024-02-01,Brake_Pad_A,50.8,92,19.56,4673.599999999999,2874.08
2024-02-01,Oil_Filter_B,16.21,279,4.96,4522.59,3138.75
2024-02-01,Spark_Plug_C,25.06,198,8.09,4961.88,3360.06
2024-02-01,Air_Filter_D,18.73,285,6.99,5338.05,3345.9
2024-02-01,Shock_Absorber_E,121.17,36,57.81,4362.12,2280.96
2024-02-02,Brake_Pad_A,39.11,136,20.36,5318.96,2550.0
2024-02-02,Oil_Filter_B,16.17,302,4.96,4883.34,3385.42
2024-02-02,Spark_Plug_C,23.87,254,8.37,6062.9800000000005,3937.0000000000005
2024-02-02,Air_Filter_D,17.75,279,7.17,4952.25,2951.82
2024-02-02,Shock_Absorber_E,122.68,59,61.77,7238.120000000001,3593.69
2024-02-03,Brake_Pad_A,40.97,106,20.63,4342.82,2156.04
2024-02-03,Oil_Filter_B,15.74,306,5.19,4816.4400000000005,3228.3
2024-02-03,Spark_Plug_C,24.19,237,7.9,5733.030000000001,3860.73
2024-02-03,Air_Filter_D,19.78,257,7.0,5083.46,3284.4600000000005
2024-02-03,Shock_Absorber_E,110.36,74,60.26,8166.64,3707.4
2024-02-04,Brake_Pad_A,50.49,95,20.88,4796.55,2812.9500000000003
2024-02-04,Oil_Filter_B,15.57,299,5.15,4655.43,3115.58
2024-02-04,Spark_Plug_C,25.9,202,8.23,5231.799999999999,3569.3399999999997
2024-02-04,Air_Filter_D,17.91,285,7.17,5104.35,3060.9
2024-02-04,Shock_Absorber_E,103.21,73,62.26,7534.33,2989.35
2024-02-05,Brake_Pad_A,42.87,123,20.69,5273.009999999999,2728.1399999999994
2024-02-05,Oil_Filter_B,13.32,343,4.82,4568.76,2915.5
2024-02-05,Spark_Plug_C,22.97,251,8.11,5765.469999999999,3729.8599999999997
2024-02-05,Air_Filter_D,21.16,252,6.89,5332.32,3596.04
2024-02-05,Shock_Absorber_E,108.54,77,59.41,8357.58,3783.0100000000007
2024-02-06,Brake_Pad_A,44.49,130,20.17,5783.7,3161.6
2024-02-06,Oil_Filter_B,15.03,323,5.19,4854.69,3178.32
2024-02-06,Spark_Plug_C,28.24,179,8.34,5054.96,3562.1
2024-02-06,Air_Filter_D,21.24,231,7.07,4906.44,3273.2699999999995
2024-02-06,Shock_Absorber_E,117.27,69,57.68,8091.63,4111.71
2024-02-07,Brake_Pad_A,51.55,101,20.84,5206.549999999999,3101.7099999999996
2024-02-07,Oil_Filter_B,16.66,293,4.95,4881.38,3431.03
2024-02-07,Spark_Plug_C,21.66,255,7.6,5523.3,3585.3
2024-02-07,Air_Filter_D,19.0,274,7.29,5206.0,3208.5400000000004
2024-02-07,Shock_Absorber_E,114.47,55,59.71,6295.85,3011.7999999999997
2024-02-08,Brake_Pad_A,41.28,116,19.35,4788.4800000000005,2543.88
2024-02-08,Oil_Filter_B,14.99,315,4.93,4721.85,3168.9
2024-02-08,Spark_Plug_C,25.6,210,8.13,5376.0,3668.7
2024-02-08,Air_Filter_D,18.07,339,6.94,6125.7300000000005,3773.0699999999997
2024-02-08,Shock_Absorber_E,105.07,72,61.5,7565.039999999999,3137.0399999999995
2024-02-09,Brake_Pad_A,41.08,135,19.38,5545.8,2929.5
2024-02-09,Oil_Filter_B,12.91,358,4.78,4621.78,2910.5399999999995
2024-02-09,Spark_Plug_C,27.07,187,7.95,5062.09,3575.44
2024-02-09,Air_Filter_D,19.4,277,6.78,5373.799999999999,3495.7399999999993
2024-02-09,Shock_Absorber_E,133.02,57,58.62,7582.14,4240.8
2024-02-10,Brake_Pad_A,46.94,98,19.31,4600.12,2707.74
2024-02-10,Oil_Filter_B,15.97,312,4.86,4982.64,3466.3199999999997
2024-02-10,Spark_Plug_C,22.98,249,7.68,5722.02,3809.7000000000003
2024-02-10,Air_Filter_D,21.8,228,6.82,4970.400000000001,3415.44
2024-02-10,Shock_Absorber_E,105.58,62,62.13,6545.96,2693.8999999999996
2024-02-11,Brake_Pad_A,49.46,92,19.41,4550.32,2764.6
2024-02-11,Oil_Filter_B,14.07,364,4.79,5121.4800000000005,3377.9200000000005
2024-02-11,Spark_Plug_C,22.81,248,8.31,5656.88,3595.9999999999995
2024-02-11,Air_Filter_D,21.9,236,6.92,5168.4,3535.2799999999997
2024-02-11,Shock_Absorber_E,123.25,45,59.46,5546.25,2870.55
2024-02-12,Brake_Pad_A,45.7,103,20.9,4707.1,2554.4000000000005
2024-02-12,Oil_Filter_B,16.19,280,4.99,4533.200000000001,3136.0000000000005
2024-02-12,Spark_Plug_C,27.96,193,7.62,5396.28,3925.62
2024-02-12,Air_Filter_D,18.61,289,6.83,5378.29,3404.4199999999996
2024-02-12,Shock_Absorber_E,107.02,68,58.63,7277.36,3290.5199999999995
2024-02-13,Brake_Pad_A,38.5,148,20.15,5698.0,2715.8
2024-02-13,Oil_Filter_B,13.98,342,5.16,4781.16,3016.44
2024-02-13,Spark_Plug_C,22.8,269,8.08,6133.2,3959.6800000000003
2024-02-13,Air_Filter_D,20.6,267,7.29,5500.200000000001,3553.7700000000004
2024-02-13,Shock_Absorber_E,117.08,53,57.28,6205.24,3169.3999999999996
2024-02-14,Brake_Pad_A,40.49,129,20.21,5223.21,2616.1200000000003
2024-02-14,Oil_Filter_B,13.85,336,4.93,4653.599999999999,2997.12
2024-02-14,Spark_Plug_C,26.64,186,7.98,4955.04,3470.76
2024-02-14,Air_Filter_D,20.98,286,6.8,6000.28,4055.48
2024-02-14,Shock_Absorber_E,103.12,66,57.31,6805.92,3023.46
2024-02-15,Brake_Pad_A,44.95,110,20.54,4944.5,2685.1000000000004
2024-02-15,Oil_Filter_B,13.23,322,5.0,4260.06,2650.06
2024-02-15,Spark_Plug_C,26.41,195,8.26,5149.95,3539.2499999999995
2024-02-15,Air_Filter_D,21.8,255,7.06,5559.0,3758.7000000000007
2024-02-15,Shock_Absorber_E,115.0,49,59.68,5635.0,2710.68
2024-02-16,Brake_Pad_A,40.75,122,20.46,4971.5,2475.38
2024-02-16,Oil_Filter_B,16.38,308,5.17,5045.04,3452.68
2024-02-16,Spark_Plug_C,23.12,241,8.39,5571.92,3549.9300000000003
2024-02-16,Air_Filter_D,22.66,264,7.05,5982.24,4121.04
2024-02-16,Shock_Absorber_E,134.96,42,62.07,5668.320000000001,3061.3800000000006
2024-02-17,Brake_Pad_A,42.56,126,20.19,5362.56,2818.6200000000003
2024-02-17,Oil_Filter_B,13.79,319,5.1,4399.009999999999,2772.1099999999997
2024-02-17,Spark_Plug_C,23.8,241,7.85,5735.8,3843.9500000000003
2024-02-17,Air_Filter_D,20.24,280,7.09,5667.2,3681.9999999999995
2024-02-17,Shock_Absorber_E,133.9,45,57.15,6025.5,3453.75
2024-02-18,Brake_Pad_A,50.0,95,20.6,4750.0,2793.0
2024-02-18,Oil_Filter_B,17.24,281,4.95,4844.44,3453.49
2024-02-18,Spark_Plug_C,24.85,222,8.39,5516.700000000001,3654.1200000000003
2024-02-18,Air_Filter_D,21.61,245,7.17,5294.45,3537.7999999999997
2024-02-18,Shock_Absorber_E,110.6,52,58.72,5751.2,2697.7599999999998
2024-02-19,Brake_Pad_A,42.25,107,19.04,4520.75,2483.4700000000003
2024-02-19,Oil_Filter_B,17.19,286,5.09,4916.34,3460.6000000000004
2024-02-19,Spark_Plug_C,22.89,220,8.3,5035.8,3209.8
2024-02-19,Air_Filter_D,22.67,236,6.77,5350.120000000001,3752.4000000000005
2024-02-19,Shock_Absorber_E,137.68,44,60.08,6057.92,3414.4000000000005
2024-02-20,Brake_Pad_A,41.36,107,19.37,4425.5199999999995,2352.93
2024-02-20,Oil_Filter_B,16.26,295,5.23,4796.700000000001,3253.8500000000004
2024-02-20,Spark_Plug_C,27.88,168,8.21,4683.84,3304.5599999999995
2024-02-20,Air_Filter_D,21.18,236,6.81,4998.48,3391.32
2024-02-20,Shock_Absorber_E,110.06,65,60.48,7153.900000000001,3222.7000000000003
2024-02-21,Brake_Pad_A,39.49,141,19.26,5568.09,2852.43
2024-02-21,Oil_Filter_B,16.75,313,5.03,5242.75,3668.3599999999997
2024-02-21,Spark_Plug_C,21.9,259,7.81,5672.099999999999,3649.31
2024-02-21,Air_Filter_D,21.34,252,6.8,5377.68,3664.08
2024-02-21,Shock_Absorber_E,126.6,48,60.55,6076.799999999999,3170.3999999999996
2024-02-22,Brake_Pad_A,49.38,92,20.13,4542.96,2691.0000000000005
2024-02-22,Oil_Filter_B,13.95,368,5.08,5133.599999999999,3264.16
2024-02-22,Spark_Plug_C,27.63,203,8.27,5608.889999999999,3930.08
2024-02-22,Air_Filter_D,21.18,263,7.18,5570.34,3682.0
2024-02-22,Shock_Absorber_E,107.71,78,57.18,8401.38,3941.3399999999997
2024-02-23,Brake_Pad_A,49.4,84,20.49,4149.599999999999,2428.44
2024-02-23,Oil_Filter_B,13.47,372,5.0,5010.84,3150.84
2024-02-23,Spark_Plug_C,21.3,264,8.38,5623.2,3410.88
2024-02-23,Air_Filter_D,20.79,248,7.03,5155.92,3412.4799999999996
2024-02-23,Shock_Absorber_E,130.07,36,60.25,4682.5199999999995,2513.5199999999995
2024-02-24,Brake_Pad_A,51.25,88,20.86,4510.0,2674.32
2024-02-24,Oil_Filter_B,13.21,396,4.78,5231.160000000001,3338.2799999999997
2024-02-24,Spark_Plug_C,23.51,247,8.07,5806.97,3813.6800000000003
2024-02-24,Air_Filter_D,19.08,289,7.26,5514.12,3415.9799999999996
2024-02-24,Shock_Absorber_E,137.05,33,57.15,4522.650000000001,2636.7000000000003
2024-02-25,Brake_Pad_A,38.55,124,20.54,4780.2,2233.24
2024-02-25,Oil_Filter_B,15.82,308,5.25,4872.56,3255.56
2024-02-25,Spark_Plug_C,24.45,222,8.24,5427.9,3598.6200000000003
2024-02-25,Air_Filter_D,21.16,242,7.13,5120.72,3395.26
2024-02-25,Shock_Absorber_E,125.56,41,62.66,5147.96,2578.9
2024-02-26,Brake_Pad_A,43.92,116,19.55,5094.72,2826.92
2024-02-26,Oil_Filter_B,17.18,287,4.86,4930.66,3535.84
2024-02-26,Spark_Plug_C,22.85,242,7.98,5529.700000000001,3598.5400000000004
2024-02-26,Air_Filter_D,22.81,222,7.19,5063.82,3467.6399999999994
2024-02-26,Shock_Absorber_E,129.75,54,60.76,7006.5,3725.4600000000005
2024-02-27,Brake_Pad_A,40.02,129,19.96,5162.580000000001,2587.7400000000002
2024-02-27,Oil_Filter_B,13.28,333,4.97,4422.24,2767.2299999999996
2024-02-27,Spark_Plug_C,22.75,249,8.07,5664.75,3655.3199999999997
2024-02-27,Air_Filter_D,18.61,307,6.97,5713.2699999999995,3573.48
2024-02-27,Shock_Absorber_E,102.42,59,59.88,6042.78,2509.86
2024-02-28,Brake_Pad_A,46.35,98,20.72,4542.3,2511.7400000000002
2024-02-28,Oil_Filter_B,16.26,279,5.24,4536.540000000001,3074.5800000000004
2024-02-28,Spark_Plug_C,22.32,257,8.16,5736.24,3639.12
2024-02-28,Air_Filter_D,20.36,267,6.9,5436.12,3593.8199999999997
2024-02-28,Shock_Absorber_E,103.2,58,57.8,5985.6,2633.2000000000003
2024-02-29,Brake_Pad_A,45.91,112,19.4,5141.92,2969.12
2024-02-29,Oil_Filter_B,13.5,326,5.1,4401.0,2738.4
2024-02-29,Spark_Plug_C,21.49,305,8.03,6554.45,4105.299999999999
2024-02-29,Air_Filter_D,21.25,276,7.21,5865.0,3875.04
2024-02-29,Shock_Absorber_E,114.22,68,62.37,7766.96,3525.8
2024-03-01,Brake_Pad_A,45.64,117,20.29,5339.88,2965.9500000000003
2024-03-01,Oil_Filter_B,15.12,337,4.78,5095.44,3484.58
2024-03-01,Spark_Plug_C,23.1,227,7.78,5243.700000000001,3477.64
2024-03-01,Air_Filter_D,22.86,230,7.2,5257.8,3601.8
2024-03-01,Shock_Absorber_E,125.71,49,61.32,6159.79,3155.109999999999
2024-03-02,Brake_Pad_A,41.33,125,20.36,5166.25,2621.25
2024-03-02,Oil_Filter_B,13.07,362,5.11,4731.34,2881.52
2024-03-02,Spark_Plug_C,26.82,193,7.9,5176.26,3651.5600000000004
2024-03-02,Air_Filter_D,22.93,241,7.16,5526.13,3800.5699999999997
2024-03-02,Shock_Absorber_E,119.52,53,60.55,6334.5599999999995,3125.41
2024-03-03,Brake_Pad_A,50.57,86,20.26,4349.02,2606.66
2024-03-03,Oil_Filter_B,16.05,287,5.2,4606.35,3113.9500000000003
2024-03-03,Spark_Plug_C,22.6,237,7.99,5356.200000000001,3462.57
2024-03-03,Air_Filter_D,18.48,317,7.01,5858.16,3635.9900000000002
2024-03-03,Shock_Absorber_E,114.93,61,59.35,7010.7300000000005,3390.38
2024-03-04,Brake_Pad_A,51.34,86,19.65,4415.240000000001,2725.3400000000006
2024-03-04,Oil_Filter_B,16.23,304,4.79,4933.92,3477.76
2024-03-04,Spark_Plug_C,22.52,256,8.26,5765.12,3650.56
2024-03-04,Air_Filter_D,19.59,265,7.14,5191.35,3299.25
2024-03-04,Shock_Absorber_E,108.01,58,61.42,6264.58,2702.2200000000003
2024-03-05,Brake_Pad_A,47.21,102,20.61,4815.42,2713.2000000000003
2024-03-05,Oil_Filter_B,15.38,343,4.81,5275.34,3625.51
2024-03-05,Spark_Plug_C,23.27,210,8.35,4886.7,3133.2
2024-03-05,Air_Filter_D,17.24,292,7.3,5034.08,2902.4799999999996
2024-03-05,Shock_Absorber_E,113.38,61,57.89,6916.179999999999,3384.89
2024-03-06,Brake_Pad_A,51.57,119,20.9,6136.83,3649.73
2024-03-06,Oil_Filter_B,15.63,340,5.01,5314.2,3610.8
2024-03-06,Spark_Plug_C,24.92,226,7.62,5631.92,3909.8
2024-03-06,Air_Filter_D,18.85,300,7.12,5655.0,3519.0
2024-03-06,Shock_Absorber_E,136.92,32,59.66,4381.44,2472.3199999999997
2024-03-07,Brake_Pad_A,49.97,86,20.68,4297.42,2518.94
2024-03-07,Oil_Filter_B,17.0,306,5.06,5202.0,3653.6400000000003
2024-03-07,Spark_Plug_C,27.77,189,8.34,5248.53,3672.27
2024-03-07,Air_Filter_D,21.14,267,7.11,5644.38,3746.01
2024-03-07,Shock_Absorber_E,116.18,62,60.95,7203.160000000001,3424.26
2024-03-08,Brake_Pad_A,51.74,90,20.56,4656.6,2806.2000000000003
2024-03-08,Oil_Filter_B,15.3,335,4.95,5125.5,3467.2500000000005
2024-03-08,Spark_Plug_C,23.7,244,8.21,5782.8,3779.5599999999995
2024-03-08,Air_Filter_D,21.79,248,6.73,5403.92,3734.8799999999997
2024-03-08,Shock_Absorber_E,121.6,50,61.17,6080.0,3021.4999999999995
2024-03-09,Brake_Pad_A,43.5,112,19.75,4872.0,2660.0
2024-03-09,Oil_Filter_B,13.77,317,5.08,4365.09,2754.73
2024-03-09,Spark_Plug_C,25.9,206,8.29,5335.4,3627.66
2024-03-09,Air_Filter_D,20.11,271,6.89,5449.8099999999995,3582.62
2024-03-09,Shock_Absorber_E,115.69,56,60.2,6478.639999999999,3107.4399999999996
2024-03-10,Brake_Pad_A,46.46,114,20.44,5296.4400000000005,2966.2799999999997
2024-03-10,Oil_Filter_B,17.05,322,5.21,5490.1,3812.48
2024-03-10,Spark_Plug_C,21.7,302,7.68,6553.4,4234.04
2024-03-10,Air_Filter_D,19.92,262,6.87,5219.040000000001,3419.1000000000004
2024-03-10,Shock_Absorber_E,130.91,47,60.66,6152.7699999999995,3301.75
2024-03-11,Brake_Pad_A,47.92,94,19.24,4504.4800000000005,2695.9200000000005
